,time,device,type,logMessage,details
0,02/25/2021 06:35:55.01,SW1,Info,02/25/2021 06:35:55.01 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:35:55.01"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,Apr 30 16:04:13,CCT1,Info,Apr 30 16:04:13 CCT1 abrtd: Directory 'ccpp-2021-04-30-16:04:08-5888' creation detected,"{""time"": ""Apr 30 16:04:13"",""type"": ""Info"", ""Action"":""Directory creation detected""}"
0,May  6 09:49:07,CCT1,Info,May  6 09:49:07 CCT1 kernel: BIOS-e820: 0000000000000000 - 000000000008e000 (usable),"{""time"": ""Apr 30 16:04:13"",""type"": ""Info"", ""BIOS-e820"":""0000000000000000 - 000000000008e000 (usable)""}"
0,May  6 09:49:07,CCT1,Info,May  6 09:49:07 CCT1 kernel: BIOS-e820: 000000000008e000 - 0000000000090000 (reserved),"{""time"": ""Apr 30 16:04:13"",""type"": ""Info"", ""BIOS-e820"":""000000000008e000 - 0000000000090000 (reserved)""}"
0,May 23 04:20:01,DGS-SVR,Info,May 23 04:20:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 04:20:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 23 05:20:01,DGS-SVR,Info,May 23 05:20:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 05:20:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 23 06:01:01,DGS-SVR,Info,May 23 06:01:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 06:01:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 23 07:00:01,DGS-SVR,Info,May 23 04:20:01 DGS-SVR CROND[243335]: (root) CMD (/usr/lib64/sa/sa1 1 1),"{""time"":""May 23 07:00:01"",""type"":""Info"",""CMD"":""(/usr/lib64/sa/sa1 1 1)""}"
0,May 24 09:13:18,SAR1STR1,Info,May 24 09:13:18 SAR1STR1 sshd[12507]: Accepted publickey for adacs from 192.168.69.101 port 41017 ssh2,"{""time"":""May 24 09:13:18"",""type"":""Info"",""Action"":""Accepted publickey"",""IP"":""192.168.69.101"",""port"":""41017""}"0,02/25/2021 06:35:55.01,SW1,Info:vlan.dbg.info,02/25/2021 06:35:55.01 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:35:55.01"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:35:53.41,SW1,Info:vlan.dbg.info,02/25/2021 06:35:53.41 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:35:53.41"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:35:05.79,SW1,Info:AAA.authPass,02/25/2021 06:35:05.79 <Info:AAA.authPass> Login passed for user admin through serial,"{""time"": ""02/25/2021 06:35:05.79"", ""type"": ""Info:AAA.authPass"", ""login/out_state"": ""passed""}"
0,02/25/2021 06:32:31.29,SW1,Info:vlan.dbg.info,02/25/2021 06:32:31.29 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:32:31.29"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:32:29.70,SW1,Info:vlan.dbg.info,02/25/2021 06:32:29.70 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:32:29.70"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:29:07.56,SW1,Info:vlan.dbg.info,02/25/2021 06:29:07.56 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:29:07.56"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:29:05.96,SW1,Info:vlan.dbg.info,02/25/2021 06:29:05.96 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:29:05.96"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:28:18.85,SW1,Info:vlan.msgs.portLinkStateDown,02/25/2021 06:28:18.85 <Info:vlan.msgs.portLinkStateDown> Port 25 link down,"{""time"": ""02/25/2021 06:28:18.85"", ""type"": ""Info:vlan.msgs.portLinkStateDown"", ""action"": ""link down"", ""port"": ""25""}"
0,02/25/2021 06:28:18.67,SW1,Info:vlan.dbg.info,02/25/2021 06:28:18.67 <Info:vlan.dbg.info> Toggling AdminState on Port 25 with pif 0x5df7f0,"{""time"": ""02/25/2021 06:28:18.67"", ""type"": ""Info:vlan.dbg.info"", ""action"": ""Toggling AdminState"", ""port"": ""25"", ""pif"": ""0x5df7f0""}"
0,02/25/2021 06:28:18.67,SW1,Warn:STP.DsblPortBrdgDtect,02/25/2021 06:28:18.67 <Warn:STP.DsblPortBrdgDtect> BPDU Restrict Port (25) has received a bpdu and will be shutdown.,"{""time"": ""02/25/2021 06:28:18.67"", ""type"": ""Warn:STP.DsblPortBrdgDtect"", ""action"": ""shutdown"", ""port"": ""25""}"
0,02/25/2021 06:28:18.66,SW1,Info:vlan.msgs.portLinkStateUp,02/25/2021 06:28:18.66 <Info:vlan.msgs.portLinkStateUp> Port 25 link UP at speed 1 Gbps and full-duplex,"{""time"": ""02/25/2021 06:28:18.66"", ""type"": ""Info:vlan.msgs.portLinkStateUp"", ""action"": ""link UP"", ""port"": ""25"", ""speed"": ""1 Gbps"", ""mode"": ""full-duplex""}"
0,02/25/2021 06:28:13.44,SW1,Info:vlan.dbg.info,02/25/2021 06:28:13.44 <Info:vlan.dbg.info> Toggling AdminState on Port 25 with pif 0x5df7f0,"{""time"": ""02/25/2021 06:28:13.44"", ""type"": ""Info:vlan.dbg.info"", ""action"": ""Toggling AdminState"", ""port"": ""25"", ""pif"": ""0x5df7f0""}"
0,02/25/2021 06:28:13.44,SW1,Warn:STP.EnblPortTimerExp,02/25/2021 06:28:13.44 <Warn:STP.EnblPortTimerExp> Port (25) is re-enabled as the disable time out has expired.,"{""time"": ""02/25/2021 06:28:13.44"", ""type"": ""Warn:STP.EnblPortTimerExp"", ""action"": ""re-enable"", ""port"": ""25""}"
0,02/25/2021 06:25:38.86,SW1,Info:vlan.dbg.info,02/25/2021 06:25:38.86 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:25:38.86"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:25:37.26,SW1,Info:vlan.dbg.info,02/25/2021 06:25:37.26 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:25:37.26"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:25:20.98,SW1,Info:AAA.logout,02/25/2021 06:25:20.98 <Info:AAA.logout> Administrative account (admin) logout from serial,"{""time"": ""02/25/2021 06:25:20.98"", ""type"": ""Info:AAA.logout"", ""login/out_state"": ""logout""}"
0,02/25/2021 06:22:15.15,SW1,Info:vlan.dbg.info,02/25/2021 06:22:15.15 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:22:15.15"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:22:13.56,SW1,Info:vlan.dbg.info,02/25/2021 06:22:13.56 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:22:13.56"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:18:51.41,SW1,Info:vlan.dbg.info,02/25/2021 06:18:51.41 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:18:51.41"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:18:49.82,SW1,Info:vlan.dbg.info,02/25/2021 06:18:49.82 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:18:49.82"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:18:13.62,SW1,Info:vlan.msgs.portLinkStateDown,02/25/2021 06:18:13.62 <Info:vlan.msgs.portLinkStateDown> Port 25 link down,"{""time"": ""02/25/2021 06:18:13.62"", ""type"": ""Info:vlan.msgs.portLinkStateDown"", ""action"": ""link down"", ""port"": ""25""}"
0,02/25/2021 06:18:13.45,SW1,Info:vlan.dbg.info,02/25/2021 06:18:13.45 <Info:vlan.dbg.info> Toggling AdminState on Port 25 with pif 0x5df7f0,"{""time"": ""02/25/2021 06:18:13.45"", ""type"": ""Info:vlan.dbg.info"", ""action"": ""Toggling AdminState"", ""port"": ""25"", ""pif"": ""0x5df7f0""}"
0,02/25/2021 06:18:13.45,SW1,Warn:STP.DsblPortBrdgDtect,02/25/2021 06:18:13.45 <Warn:STP.DsblPortBrdgDtect> BPDU Restrict Port (25) has received a bpdu and will be shutdown.,"{""time"": ""02/25/2021 06:18:13.45"", ""type"": ""Warn:STP.DsblPortBrdgDtect"", ""action"": ""shutdown"", ""port"": ""25""}"
0,02/25/2021 06:18:13.44,SW1,Info:vlan.msgs.portLinkStateUp,02/25/2021 06:18:13.44 <Info:vlan.msgs.portLinkStateUp> Port 25 link UP at speed 1 Gbps and full-duplex,"{""time"": ""02/25/2021 06:18:13.44"", ""type"": ""Info:vlan.msgs.portLinkStateUp"", ""action"": ""link UP"", ""port"": ""25"", ""speed"": ""1 Gbps"", ""mode"": ""full-duplex""}"
